# Number of data points
100
# Age    Length
11.41545 65.53991
14.63757 95.3036
15.17605 83.82474
3.269828 12.25513
19.41651 102.3588
17.43193 78.48757
5.759859 28.77911
10.42757 52.41187
16.20051 101.6827
17.5348 94.51638
14.94379 86.15231
11.1729 53.95561
6.447345 13.92528
2.98017 4.076876
18.58598 101.9612
3.625817 6.190432
3.720961 -5.370054
14.6346 76.30779
4.969375 20.89655
14.62529 97.0558
16.9251 85.80235
6.419014 25.47756
1.222749 -4.0866
4.185029 13.43405
3.21961 10.1904
18.80526 92.9905
13.40643 80.95467
9.734043 53.30162
1.354956 2.904043
5.446144 6.054734
2.792849 8.340134
3.111646 10.41279
16.13511 86.95931
7.7298 29.2475
13.99068 86.09536
5.057021 9.58386
7.65461 17.09239
4.663651 21.60755
3.409451 15.30725
8.130666 38.27231
16.57691 81.06116
3.062742 14.88114
8.90366 43.73144
4.276094 9.15846
5.543112 9.571044
2.604047 7.689358
13.9921 85.16709
12.23824 77.97035
3.921754 12.68961
1.782081 -2.838724
11.46803 53.61663
5.610816 20.74607
16.93913 96.45896
1.812066 3.126954
11.14722 60.48171
9.194418 38.30763
19.88478 101.6515
16.86315 103.7671
7.57324 38.25662
18.92 101.8134
5.16666 15.74362
18.78234 91.93835
4.408559 3.338816
6.693403 22.16267
11.44129 69.3806
15.52168 80.06594
11.64387 67.52931
2.859474 0.6943846
2.683852 5.908449
16.11661 111.6396
13.58581 90.36628
11.12046 51.51142
7.682404 34.27215
9.507759 29.99196
2.432551 6.03697
5.375789 16.90945
4.046164 10.56777
2.170194 -2.70688
18.02431 75.82918
17.23244 103.5994
19.24691 94.74125
6.766634 27.9933
7.378195 39.45314
10.83795 55.54384
15.91964 93.51946
14.61285 75.47699
3.121091 23.81864
7.694686 22.81408
16.44447 90.0605
8.477601 29.55596
19.67344 91.4168
2.077157 14.01005
17.93708 101.359
11.66238 78.58466
18.5005 100.4743
16.93509 83.27334
7.903573 22.44415
4.144743 16.71461
8.880376 35.28336
8.821722 37.10192
