3
100
#Predator Prey1    Prey2    Prey3     Consump1 Consump2 Consump3
1.20894 0.5615064 1.999467 0.3161716 1.142174 2.151871 0.4517236
1.635633 1.282741 0.7586465 1.708764 1.444159 2.848352 0.433343
0.4567278 1.835159 0.4500238 1.458816 0.3862475 0.8610819 0.1507482
0.1789201 0.0108581 1.071584 0.0734386 0.1795996 0.3497974 0.08413748
0.06741683 0.3315175 0.7441884 1.472702 0.06584609 0.133352 0.02298397
0.3674502 0.6102855 0.2929209 1.267952 0.3493045 0.6945422 0.1272603
0.8130397 1.211999 0.6306702 1.975563 0.7350611 1.496445 0.2325034
0.8894062 1.446336 1.313083 1.636743 0.7769461 1.632348 0.2687985
0.04390647 1.668432 0.3794534 1.632071 0.03809096 0.08852377 0.01481336
0.2115737 0.416138 1.39042 1.621666 0.2036428 0.4063836 0.07044287
0.8107134 0.198272 0.3559817 0.05751326 0.8064475 1.505817 0.3420156
1.039713 1.630418 1.502715 0.06552045 0.8824832 1.878657 0.4271206
1.084507 1.378772 0.2011142 1.201113 0.935428 1.940099 0.3459857
0.01965189 1.75307 1.250013 1.768747 0.01667697 0.03908 0.006440791
1.527061 0.919152 1.231812 0.5896988 1.398967 2.653417 0.5168008
1.228029 1.56594 1.660005 0.449995 1.066764 2.174163 0.4467649
0.2390134 0.6350341 0.2713587 0.9216371 0.2222265 0.4631376 0.09017298
0.5341073 0.7722932 1.661753 0.8106409 0.4911232 1.004975 0.1988505
0.469231 0.4695503 0.3117482 0.1281138 0.4588534 0.9142938 0.2088779
1.979439 0.8668272 0.007892498 1.343461 1.832982 3.32844 0.5510384
0.1157124 0.9598803 0.7452615 1.652305 0.1041475 0.2234321 0.03810163
0.1215658 0.5272677 0.7717516 0.7135954 0.1152488 0.2359562 0.04896343
0.6698284 0.3719442 0.2030487 1.985452 0.6507915 1.260069 0.1941036
0.5375573 0.5894176 0.5019674 0.1529328 0.5101695 1.029182 0.2324066
1.944289 0.484171 0.2275699 1.992089 1.866241 3.232299 0.4841661
0.2290302 0.3660797 0.1421645 1.705974 0.2235626 0.4427477 0.07328704
0.08127092 1.674327 0.790419 1.572124 0.06936562 0.1645195 0.0270755
0.5739839 0.5300931 0.2159227 0.4335525 0.5495469 1.075037 0.2301266
1.046926 1.008805 0.9290539 1.64243 0.9579553 1.879937 0.3065278
0.3382705 0.5165553 0.9976014 1.837048 0.3182223 0.6447725 0.1056114
0.8925669 1.169667 0.7411566 0.2984829 0.7990464 1.630132 0.3500018
1.677561 0.03064644 0.4027403 1.894818 1.668566 2.866188 0.4405768
1.659411 1.4789 0.2078617 0.2174214 1.420427 2.859714 0.5963192
0.6590793 0.454104 1.365205 0.7210306 0.6313547 1.240718 0.2425548
1.892315 0.359229 1.257984 1.237527 1.827338 3.223097 0.5294969
0.9284779 1.032518 1.206143 0.0429355 0.8451581 1.676682 0.3911375
1.988937 1.163616 1.229929 0.8325018 1.769178 3.283643 0.6130547
1.970983 0.3759038 1.560379 0.3289027 1.874119 3.305687 0.6595826
1.967595 1.01601 1.287406 0.6221178 1.821523 3.278998 0.6149056
0.5849754 1.035418 1.766894 1.814286 0.5268458 1.105681 0.1767806
0.356771 0.01931422 1.548406 0.7659267 0.3597869 0.6806397 0.1390837
1.520008 0.3409607 1.712326 0.2317843 1.453245 2.66557 0.5433777
0.4569634 1.215209 1.141147 1.64931 0.4088675 0.8819615 0.1419307
0.01031477 0.7160638 0.07280224 1.656058 0.009663366 0.02043125 0.003397519
0.7869757 0.01696756 1.111224 0.4041612 0.7826805 1.448314 0.3046324
0.3181 0.7324242 0.4764057 1.855102 0.2970929 0.6164386 0.09655185
0.6483106 0.8031821 1.15313 1.314987 0.6133547 1.208881 0.2113931
0.02457783 1.690655 1.709303 0.2333935 0.02084619 0.04866332 0.01168962
0.1786546 1.72358 0.7124506 1.195131 0.1517539 0.348098 0.06477732
0.7225448 0.4390545 1.929968 0.7583908 0.7029741 1.367773 0.2633567
1.434133 0.08155476 0.106379 0.8959361 1.425837 2.547324 0.4573718
0.5348344 0.351022 0.741209 0.867825 0.5198787 1.015529 0.196317
1.588381 0.153508 1.826904 1.075934 1.556293 2.764328 0.4774182
1.311986 0.07918289 0.7262899 1.871332 1.292974 2.275263 0.3616569
1.661061 1.217857 1.018305 1.956408 1.505197 2.864163 0.4332852
0.4762608 1.494947 0.1005318 1.286764 0.4159557 0.9000583 0.1609162
0.9793433 0.05225972 0.5231571 0.1989697 0.9793203 1.781131 0.3949927
0.6973463 0.07899518 0.8077705 1.799197 0.6855729 1.290271 0.209306
0.933977 0.7045407 0.7358365 0.445518 0.8663772 1.745706 0.3539281
1.022307 0.2341975 0.5066636 0.8735563 1.002112 1.82075 0.345409
1.08307 0.4151274 0.9652287 1.385241 1.042895 1.951167 0.3318973
0.5482324 1.01482 0.7823844 0.8529088 0.5051376 1.024285 0.1989411
1.359303 1.235914 1.743399 0.890753 1.194732 2.383004 0.4426965
0.8094772 0.02562767 1.291764 1.520012 0.8123205 1.515153 0.2488251
0.3170057 1.035285 1.297209 1.144006 0.2870625 0.6161855 0.1124771
0.01878968 1.056154 0.8640209 0.7535781 0.01698074 0.03759191 0.007767353
0.6145041 1.460714 1.665537 1.812565 0.5393638 1.174256 0.1841083
0.3020579 1.959722 0.2604507 1.824585 0.2510229 0.5873259 0.09265697
1.846622 0.917956 0.7610708 1.136895 1.680367 3.137175 0.5281763
0.8028047 0.1038571 0.6172768 0.9415165 0.8138071 1.506161 0.2793337
0.1810912 1.030413 1.85088 0.4484331 0.1643333 0.3557445 0.07792342
0.3514211 1.142992 0.8476342 1.128692 0.3133116 0.6865188 0.1245987
0.9291159 1.660053 1.82769 1.138404 0.8010283 1.699167 0.3060649
1.251118 1.220657 1.406307 1.830669 1.109885 2.246093 0.3468166
1.142973 1.537888 0.1768208 0.00252479 1.00069 2.082562 0.4695627
1.353079 0.3986381 0.9660664 0.5407294 1.311633 2.398691 0.4769869
1.195462 0.4613533 0.8315257 1.341597 1.123338 2.15628 0.3698464
0.2219086 1.532859 1.242166 1.636624 0.1900125 0.4328472 0.0729778
0.194813 1.407562 0.3593831 1.09679 0.1709948 0.381448 0.07022527
1.453069 0.7463766 0.1763764 1.233938 1.35452 2.523722 0.4507735
1.222701 0.7819165 1.880841 0.7437434 1.152032 2.185501 0.4176617
1.561117 1.589467 1.92536 0.01259035 1.35034 2.706219 0.5891972
1.669939 0.9324892 0.1051283 0.4806257 1.525476 2.850749 0.5742322
0.622224 1.60767 1.248826 0.2325508 0.5351799 1.154903 0.2616883
0.7389548 1.125992 1.172768 0.1826678 0.6534065 1.385185 0.3104383
0.1356204 1.384642 0.2097769 0.1506626 0.1187836 0.2681257 0.06394906
0.4061578 0.5768705 1.374109 1.941111 0.384546 0.7774925 0.1218225
0.8251026 1.55668 0.03681839 1.956445 0.7175571 1.509772 0.2358558
1.345539 0.4298244 0.3618472 1.47055 1.305034 2.403407 0.3935813
0.827178 0.476667 0.6653624 1.522136 0.7843529 1.521452 0.2573602
1.890082 0.9743651 1.361785 1.992868 1.747338 3.22158 0.4774492
0.8981477 0.1371488 1.297692 1.933065 0.8665392 1.629644 0.2557113
0.776903 0.7052166 0.08468557 0.7168877 0.7332433 1.450713 0.2839265
0.06013732 0.8952382 0.3583905 1.288845 0.0554652 0.1192728 0.02137241
1.143595 0.4693362 1.943888 0.718777 1.083938 2.011173 0.3981983
0.001226558 1.38447 1.096435 1.310478 0.001081569 0.002482986 0.000440559
0.1265881 0.9485744 1.180303 0.7035032 0.1169561 0.2516151 0.05097181
0.3969335 1.226035 0.8340386 0.8317684 0.3476623 0.7658294 0.1459762
0.5983952 0.2042086 1.838318 1.615799 0.5818585 1.130064 0.1867002
1.847585 1.745963 0.9274919 1.479057 1.578705 3.115117 0.5094248
