Subject Length Weight
1  2  0.007
1  4  0.105
1  6  0.232
1  8  0.516
1 10  1.033
1 12  1.450
1 14  3.348
1 16  3.980
1 18  5.415
1 20  8.136
2  2  0.008
2  4  0.068
2  6  0.256
2  8  0.738
2 10  1.689
2 12  1.974
2 14  3.862
2 16  3.612
2 18  6.614
2 20 11.170
3  2  0.009
3  4  0.059
3  6  0.184
3  8  0.562
3 10  1.089
3 12  1.744
3 14  2.086
3 16  3.866
3 18  5.298
3 20  6.445
4  2  0.006
4  4  0.083
4  6  0.131
4  8  0.419
4 10  0.531
4 12  1.817
4 14  2.409
4 16  5.345
4 18  5.324
4 20  6.285
5  2  0.010
5  4  0.077
5  6  0.291
5  8  0.604
5 10  1.451
5 12  2.555
5 14  5.448
5 16  3.484
5 18  6.211
5 20 11.015
6  2  0.004
6  4  0.053
6  6  0.198
6  8  0.391
6 10  0.949
6 12  1.861
6 14  2.305
6 16  2.855
6 18  5.287
6 20  5.642
7  2  0.009
7  4  0.073
7  6  0.206
7  8  0.615
7 10  1.412
7 12  1.415
7 14  2.517
7 16  3.371
7 18  8.813
7 20  9.927
8  2  0.011
8  4  0.072
8  6  0.398
8  8  0.718
8 10  0.991
8 12  1.732
8 14  3.685
8 16  5.095
8 18  7.144
8 20 12.247
9  2  0.005
9  4  0.046
9  6  0.137
9  8  0.300
9 10  0.556
9 12  1.327
9 14  1.772
9 16  2.150
9 18  5.791
9 20  4.732
10  2  0.009
10  4  0.071
10  6  0.236
10  8  0.699
10 10  1.072
10 12  2.485
10 14  2.049
10 16  5.298
10 18  7.194
10 20 10.158
